HrefBases,MetaTitle,Metatitle Descriprion,Fuente,Author,Email,Last Update,Tags
https://datosabiertos.gob.ec/dataset/homicidios-intencionales/resource/2eacdb56-4bd6-46e0-bdff-a0b1958c5cfc,homicidios_intencionales,"informacion estadistica oficial, accesible, oportuna, consistente, integrada, en tiempo real, confiable y de calidad, sobre homicidios intencionales, que aporte al diseno de politicas publicas que faciliten la toma de decisiones a los entes inmersos en seguridad ciudadana, ya sea a nivel nacional o local, mejorando la gestion territorial a traves de la optimizacion de recursos e implementacion de procesos.",ministerio_del_interior,diana_monserrat_hinojosa_colina,http://181.113.21.13:8080/registroinicial-war/estadisticas.html,29 de enero de 2024,homicidios_intencionales
https://datosabiertos.gob.ec/dataset/homicidios-intencionales/resource/cb8f704e-2b27-4d7f-9431-d40c4e27fa48,homicidios_intencionales,"informacion estadistica oficial, accesible, oportuna, consistente, integrada, en tiempo real, confiable y de calidad, sobre homicidios intencionales, que aporte al diseno de politicas publicas que faciliten la toma de decisiones a los entes inmersos en seguridad ciudadana, ya sea a nivel nacional o local, mejorando la gestion territorial a traves de la optimizacion de recursos e implementacion de procesos.",ministerio_del_interior,diana_monserrat_hinojosa_colina,http://181.113.21.13:8080/registroinicial-war/estadisticas.html,29 de enero de 2024,homicidios_intencionales
https://datosabiertos.gob.ec/dataset/conjunto-de-datos-de-personas-del-registro-social-2024/resource/35724546-6ea7-4b5e-8c05-85ec97780001,conjunto_de_datos_de_personas_del_registro_social-_2024,"base de datos con informacion de personas registradas en el registro social vigente, segun variables de miembros de hogar, como grupo de edad, sexo, discapacidad, estado civil, entre otras. las personas se encuentran agregadas a nivel de parroquia. la informacion de la base de datos comprende, en su mayoria, el levantamiento de informacion en 25 000 sectores censales a nivel nacional.",unidad_del_registro_social,director_de_investigacion_y_analisis_de_la_informacion,https://www.registrosocial.gob.ec,29 de enero de 2024,xlsx
https://datosabiertos.gob.ec/dataset/conjunto-de-datos-de-personas-del-registro-social-2024/resource/7028eb70-21b7-4068-b021-2de0e2a6d86d,conjunto_de_datos_de_personas_del_registro_social-_2024,"base de datos con informacion de personas registradas en el registro social vigente, segun variables de miembros de hogar, como grupo de edad, sexo, discapacidad, estado civil, entre otras. las personas se encuentran agregadas a nivel de parroquia. la informacion de la base de datos comprende, en su mayoria, el levantamiento de informacion en 25 000 sectores censales a nivel nacional.",unidad_del_registro_social,director_de_investigacion_y_analisis_de_la_informacion,https://www.registrosocial.gob.ec,29 de enero de 2024,xlsx
https://datosabiertos.gob.ec/dataset/conjunto-de-datos-nucleos-familiares-del-registro-social-2024/resource/c17b4826-2445-49be-9ced-d168a628ce27,conjunto_de_datos_nucleos_familiares_del_registro_social-_2024,"base de datos con informacion de nucleos familiares registrados en la base de datos del registro social, segun variables de tenencia de bienes. los nucleos familiares se encuentran agregados a nivel de parroquia. la informacion de la base de datos comprende, en su mayoria, el levantamiento de informacion en 25 mil sectores censales a nivel nacional.",unidad_del_registro_social,director_de_investigacion_y_analisis_de_la_informacion,https://www.registrosocial.gob.ec,29 de enero de 2024,csv
https://datosabiertos.gob.ec/dataset/conjunto-de-datos-nucleos-familiares-del-registro-social-2024/resource/63100b73-37e0-496a-bb6f-251287cdb9d4,conjunto_de_datos_nucleos_familiares_del_registro_social-_2024,"base de datos con informacion de nucleos familiares registrados en la base de datos del registro social, segun variables de tenencia de bienes. los nucleos familiares se encuentran agregados a nivel de parroquia. la informacion de la base de datos comprende, en su mayoria, el levantamiento de informacion en 25 mil sectores censales a nivel nacional.",unidad_del_registro_social,director_de_investigacion_y_analisis_de_la_informacion,https://www.registrosocial.gob.ec,29 de enero de 2024,csv
https://datosabiertos.gob.ec/dataset/conjunto-de-datos-nucleos-familiares-del-registro-social-2024/resource/1ae8ece8-6010-4bde-be2e-4168613a7361,conjunto_de_datos_nucleos_familiares_del_registro_social-_2024,"base de datos con informacion de nucleos familiares registrados en la base de datos del registro social, segun variables de tenencia de bienes. los nucleos familiares se encuentran agregados a nivel de parroquia. la informacion de la base de datos comprende, en su mayoria, el levantamiento de informacion en 25 mil sectores censales a nivel nacional.",unidad_del_registro_social,director_de_investigacion_y_analisis_de_la_informacion,https://www.registrosocial.gob.ec,29 de enero de 2024,csv
https://datosabiertos.gob.ec/dataset/conjunto-de-datos-hogares-del-registro-social-2024-1/resource/1d5672c7-56e4-4964-a0c4-80f222c0bd59,conjunto_de_datos_hogares_del_registro_social_-_2024,"base de datos con informacion de hogares registrados el registro social, segun variables de condicion de vivienda, como el acceso, los materiales, los estados y variables de los principales servicios basicos. los hogares se encuentran agregados a nivel de parroquia.",unidad_del_registro_social,director_de_investigacion_y_analisis_de_la_informacion,https://www.registrosocial.gob.ec,29 de enero de 2024,xlxs
https://datosabiertos.gob.ec/dataset/conjunto-de-datos-hogares-del-registro-social-2024-1/resource/bcd804dc-2650-4d14-ab53-013f41e20770,conjunto_de_datos_hogares_del_registro_social_-_2024,"base de datos con informacion de hogares registrados el registro social, segun variables de condicion de vivienda, como el acceso, los materiales, los estados y variables de los principales servicios basicos. los hogares se encuentran agregados a nivel de parroquia.",unidad_del_registro_social,director_de_investigacion_y_analisis_de_la_informacion,https://www.registrosocial.gob.ec,29 de enero de 2024,xlxs
https://datosabiertos.gob.ec/dataset/conjunto-de-datos-hogares-del-registro-social-2024-1/resource/4be12c5f-0f6f-4769-9061-d0f7244fc10f,conjunto_de_datos_hogares_del_registro_social_-_2024,"base de datos con informacion de hogares registrados el registro social, segun variables de condicion de vivienda, como el acceso, los materiales, los estados y variables de los principales servicios basicos. los hogares se encuentran agregados a nivel de parroquia.",unidad_del_registro_social,director_de_investigacion_y_analisis_de_la_informacion,https://www.registrosocial.gob.ec,29 de enero de 2024,xlxs
